# Core 6000 Sample Data (First 100 words for testing)
# Format: core_rank word reading meaning sentence sentence_reading sentence_meaning
1	一	いち	one	一つください。	ひとつください。	Please give me one.
2	人	ひと	person	日本人です。	にほんじんです。	I am Japanese.
3	年	とし	year	今年は2024年です。	ことしはにせんにじゅうよねんです。	This year is 2024.
4	大	だい	big, large	大きい家です。	おおきいいえです。	It's a big house.
5	日	にち	day, sun	今日はいい日です。	きょうはいいひです。	Today is a good day.
6	本	ほん	book, origin	本を読みます。	ほんをよみます。	I read a book.
7	中	ちゅう	middle, inside	日本の中です。	にほんのちゅうです。	It's inside Japan.
8	出	で	exit, leave	家を出ます。	いえをでます。	I leave the house.
9	上	うえ	up, above	上を見ます。	うえをみます。	I look up.
10	見	み	see, look	映画を見ます。	えいがをみます。	I watch a movie.
11	行	いく	go	学校に行きます。	がっこうにいきます。	I go to school.
12	下	した	down, below	下を見ます。	したをみます。	I look down.
13	学	がく	study, learning	学校に行きます。	がっこうにいきます。	I go to school.
14	私	わたし	I, me	私は学生です。	わたしはがくせいです。	I am a student.
15	時	じ	time, hour	何時ですか。	なんじですか。	What time is it?
16	間	あいだ	interval, between	学校の間です。	がっこうのあいだです。	It's between classes.
17	言	いう	say, speak	日本語を言います。	にほんごをいいます。	I speak Japanese.
18	前	まえ	before, front	名前は何ですか。	なまえはなんですか。	What is your name?
19	後	あと	after, behind	後で行きます。	あとでいきます。	I'll go later.
20	気	き	spirit, mind	元気ですか。	げんきですか。	How are you?
21	生	せい	life, birth	学生です。	がくせいです。	I am a student.
22	山	やま	mountain	富士山です。	ふじさんです。	It's Mt. Fuji.
23	入	はいる	enter	家に入ります。	いえにはいります。	I enter the house.
24	会	かい	meet, association	会社に行きます。	かいしゃにいきます。	I go to the company.
25	月	つき	moon, month	月がきれいです。	つきがきれいです。	The moon is beautiful.
26	火	ひ	fire	火があります。	ひがあります。	There is a fire.
27	水	みず	water	水を飲みます。	みずをのみます。	I drink water.
28	木	き	tree, wood	木が大きいです。	きがおおきいです。	The tree is big.
29	金	かね	money, gold	お金があります。	おかねがあります。	I have money.
30	土	つち	earth, soil	土があります。	つちがあります。	There is soil.
